"id","hero_name","hero_class","persistent_credits","persistent_deck_cards","solo_node_counter","solo_current_floor","created_at","updated_at"
"1","Ombra","DPS","100","[]","24","1","""2026-01-01T22:35:21.517Z""","""2026-01-01T23:14:25.647Z"""
"2","Player","DPS","100","[]","0","1","""2026-01-01T22:48:03.298Z""","""2026-01-01T22:48:03.298Z"""
"3","Host","DPS","100","[]","0","1","""2026-01-01T22:59:54.305Z""","""2026-01-01T22:59:54.305Z"""
"4","Baluardo","Tank","100","[]","0","1","""2026-01-02T10:44:43.066Z""","""2026-01-02T10:44:43.066Z"""
"5","Ingegnere","Specialist","100","[]","0","1","""2026-01-02T11:47:21.447Z""","""2026-01-02T11:47:21.447Z"""
