"id","hero_name","hero_class","current_hp","max_hp","current_pa","current_r2","max_r2","node_counter","credits","current_floor","game_mode","room_code","is_active","deck_cards","created_at","updated_at"
"1","Ombra","DPS","0","12","3","0","4","19","174","1","solo",,"false","[]","""2026-01-01T21:27:54.290Z""","""2026-01-01T22:35:58.255Z"""
"2","Ombra","DPS","12","12","3","0","4","0","174","1","tabletop",,"false","[]","""2026-01-01T22:35:58.258Z""","""2026-01-01T22:48:16.970Z"""
"3","Player","DPS","12","12","3","0","4","0","100","1","tabletop",,"false","[]","""2026-01-01T22:48:03.325Z""","""2026-01-01T23:29:53.420Z"""
"4","Ombra","DPS","12","12","3","0","4","24","100","1","solo",,"false","[]","""2026-01-01T22:48:16.974Z""","""2026-01-01T23:14:25.651Z"""
"5","Host","DPS","12","12","3","0","4","0","100","1","tabletop",,"false","[]","""2026-01-01T22:59:54.311Z""","""2026-01-02T00:57:41.517Z"""
"6","Ombra","DPS","12","12","3","0","4","0","174","1","tabletop",,"false","[]","""2026-01-01T23:14:25.663Z""","""2026-01-02T00:57:44.142Z"""
"7","Ombra","DPS","0","12","3","0","4","29","136","1","solo",,"true","[]","""2026-01-02T00:57:44.146Z""","""2026-01-02T00:59:13.595Z"""
"8","Baluardo","Tank","15","15","3","0","5","5","100","1","solo",,"true","[]","""2026-01-02T10:44:43.099Z""","""2026-01-02T13:24:49.572Z"""
"9","Ingegnere","Specialist","13","13","3","0","5","0","100","1","solo",,"true","[]","""2026-01-02T11:47:21.451Z""","""2026-01-02T11:47:21.451Z"""
